factor,value,n,total_friction_R,mean_friction_R
setup,S1_SWEEP_REVERSAL,13,2.910467590718102,0.22388212236293092
setup,S2_BREAKOUT_CONTINUATION,3,0.7127425501852547,0.23758085006175156
setup,S3_PULLBACK_CONTINUATION,15,2.263230884952335,0.15088205899682233
session,ASIAN_LONDON,15,3.125486784058204,0.20836578560388028
session,LONDON_NEWYORK,16,2.7609542417974873,0.17255964011234295
volatility_regime,HIGH,2,0.5076043098176675,0.25380215490883373
volatility_regime,LOW,1,0.12822595259349975,0.12822595259349975
volatility_regime,NORMAL,28,5.2506107634445245,0.1875218129801616
entry_hour,10,2,0.2291903562973051,0.11459517814865255
entry_hour,12,4,0.7709769761035088,0.1927442440258772
entry_hour,13,8,1.1977282826245286,0.14971603532806607
entry_hour,14,4,0.7922489830694498,0.19806224576736245
entry_hour,7,5,1.209084123013742,0.2418168246027484
entry_hour,8,6,1.0921999919059822,0.18203333198433036
entry_hour,9,2,0.5950123128411752,0.2975061564205876
