policy,setup,n,mean_MFE_R,mean_MAE_R,net_R
CONTROL,S1_SWEEP_REVERSAL,13,1.1092762677058174,-0.8909044276061764,0.06310067935828989
CONTROL,S2_BREAKOUT_CONTINUATION,3,0.0,0.0,-3.7127425501852547
CONTROL,S3_PULLBACK_CONTINUATION,15,0.5668783375165473,-0.5451427206821851,-2.22750168062724
30,S1_SWEEP_REVERSAL,13,0.3907110300602703,-0.8520085527272825,-5.2145723841354314
30,S2_BREAKOUT_CONTINUATION,3,0.0,0.0,-3.7127425501852547
30,S3_PULLBACK_CONTINUATION,15,0.34467964897181974,-0.39918422791133973,-3.468583609655417
45,S1_SWEEP_REVERSAL,13,0.45891662557542556,-0.8547947007328354,-4.5460673724062355
45,S2_BREAKOUT_CONTINUATION,3,0.0,0.0,-3.7127425501852547
45,S3_PULLBACK_CONTINUATION,15,0.4291684522908474,-0.44003127794264146,-3.712366680906174
60,S1_SWEEP_REVERSAL,13,0.5997592778331003,-0.8782432137558029,-3.2251411489339286
60,S2_BREAKOUT_CONTINUATION,3,0.0,0.0,-3.7127425501852547
60,S3_PULLBACK_CONTINUATION,15,0.4651153156999866,-0.4491211566609293,-5.064817884149741
90,S1_SWEEP_REVERSAL,13,0.8587325707308927,-0.8796467047900367,-3.879737181704396
90,S2_BREAKOUT_CONTINUATION,3,0.0,0.0,-3.7127425501852547
90,S3_PULLBACK_CONTINUATION,15,0.4693372403637816,-0.5169081692814257,-6.165413661092739
120,S1_SWEEP_REVERSAL,13,1.0035784019165366,-0.8796467047900367,-1.8235243235104888
120,S2_BREAKOUT_CONTINUATION,3,0.0,0.0,-3.7127425501852547
120,S3_PULLBACK_CONTINUATION,15,0.5508769648010698,-0.5360984665386551,-3.7660412591927352
