policy,factor,value,trade_count,gross_R,friction_R,net_R,average_R,median_R,win_rate,loss_rate,profit_factor,max_drawdown_R,average_hold_minutes,median_hold_minutes,position_hours,R_per_position_hour,mean_MFE_R,mean_MAE_R,duration_exit_count,SL_exit_count,TP_exit_count,original_exit_count,evidence_class
CONTROL,setup,S1_SWEEP_REVERSAL,13,2.9735682700763917,2.910467590718102,0.06310067935828989,0.004853898412176145,-0.11364693555701494,0.46153846153846156,0.5384615384615384,1.009964387870613,3.4968598938071223,99.76923076923077,71.0,21.616666666666667,0.0029190753750943663,1.1092762677058174,-0.8909044276061764,0,5,0,13,WEAK_FORMAL_ATTRIBUTION
CONTROL,setup,S2_BREAKOUT_CONTINUATION,3,-3.0,0.7127425501852547,-3.7127425501852547,-1.2375808500617516,-1.2253257056874334,0.0,1.0,0.0,3.7127425501852542,1.0,1.0,0.05,-74.25485100370508,0.0,0.0,0,3,0,3,DESCRIPTIVE_ONLY
CONTROL,setup,S3_PULLBACK_CONTINUATION,15,0.035729204325094535,2.263230884952335,-2.22750168062724,-0.148500112041816,-0.010435677857891984,0.4666666666666667,0.5333333333333333,0.5547918289172548,3.038826616725578,82.8,74.0,20.7,-0.10760877684189565,0.5668783375165473,-0.5451427206821851,0,3,0,15,WEAK_FORMAL_ATTRIBUTION
30,setup,S1_SWEEP_REVERSAL,13,-2.3041047934173298,2.910467590718102,-5.2145723841354314,-0.40112095262580244,-0.3089619483988255,0.07692307692307693,0.9230769230769231,0.011055732604583491,5.214572384135432,28.692307692307693,30.0,6.216666666666667,-0.8388052092443053,0.3907110300602703,-0.8520085527272825,10,1,0,3,WEAK_FORMAL_ATTRIBUTION
30,setup,S2_BREAKOUT_CONTINUATION,3,-3.0,0.7127425501852547,-3.7127425501852547,-1.2375808500617516,-1.2253257056874334,0.0,1.0,0.0,3.7127425501852542,1.0,1.0,0.05,-74.25485100370508,0.0,0.0,0,3,0,3,DESCRIPTIVE_ONLY
30,setup,S3_PULLBACK_CONTINUATION,15,-1.205352724703082,2.263230884952335,-3.468583609655417,-0.23123890731036115,-0.167393130678874,0.26666666666666666,0.7333333333333333,0.2873659006503995,4.490751369085491,27.933333333333334,30.0,6.983333333333333,-0.4966945503086516,0.34467964897181974,-0.39918422791133973,12,1,0,3,WEAK_FORMAL_ATTRIBUTION
45,setup,S1_SWEEP_REVERSAL,13,-1.6355997816881331,2.910467590718102,-4.5460673724062355,-0.34969749018509505,-0.28703181723072263,0.23076923076923078,0.7692307692307693,0.22224394810986106,5.467164079065091,40.23076923076923,45.0,8.716666666666667,-0.521537365859224,0.45891662557542556,-0.8547947007328354,10,1,0,3,WEAK_FORMAL_ATTRIBUTION
45,setup,S2_BREAKOUT_CONTINUATION,3,-3.0,0.7127425501852547,-3.7127425501852547,-1.2375808500617516,-1.2253257056874334,0.0,1.0,0.0,3.7127425501852542,1.0,1.0,0.05,-74.25485100370508,0.0,0.0,0,3,0,3,DESCRIPTIVE_ONLY
45,setup,S3_PULLBACK_CONTINUATION,15,-1.4491357959538393,2.263230884952335,-3.712366680906174,-0.2474911120604116,-0.167393130678874,0.4,0.6,0.31950654418010055,5.108742722134743,39.06666666666667,45.0,9.766666666666667,-0.38010580350575157,0.4291684522908474,-0.44003127794264146,9,2,0,6,WEAK_FORMAL_ATTRIBUTION
60,setup,S1_SWEEP_REVERSAL,13,-0.3146735582158266,2.910467590718102,-3.2251411489339286,-0.24808778068722528,-0.24631267650906788,0.38461538461538464,0.6153846153846154,0.4688544601857154,4.204533272055378,49.76923076923077,60.0,10.783333333333333,-0.29908573251319276,0.5997592778331003,-0.8782432137558029,7,4,0,6,WEAK_FORMAL_ATTRIBUTION
