trade_id,policy,setup,entry_time,entry_price,initial_stop,exit_time,hold_minutes,gross_R,friction_R,net_R,mfe_R,mae_R,time_to_mfe_minutes,time_to_1r_minutes,time_to_2r_minutes,time_to_3r_minutes,exit_reason,stop_distance,entry_hour,trend_regime,volatility_regime,session,higher_timeframe_bias,regime_asof_timestamp,feature_source,classifier_version
LONDON_NEWYORK_2026-05-18_2026-05-18 14:30:00+00:00_S1_SWEEP_REVERSAL,CONTROL,S1_SWEEP_REVERSAL,2026-05-18T14:30:00+00:00,1.16422,1.164835942697063,2026-05-18T14:59:00+00:00,29.0,0.1298822120654383,0.24352914762245323,-0.11364693555701494,0.22729387111433674,-0.7792932723919087,6.0,,,,SESSION_EXIT_FULL_POSITION,0.0006159426970628878,14,TREND,HIGH,LONDON_NEWYORK,BEARISH,2026-05-18T14:30:00+00:00,M1_PRE_ENTRY_60M_AND_CANONICAL_BIAS_GATE,AG_GEN001_REGIME_V1
LONDON_NEWYORK_2026-05-19_2026-05-19 13:15:00+00:00_S2_BREAKOUT_CONTINUATION,CONTROL,S2_BREAKOUT_CONTINUATION,2026-05-19T13:15:00+00:00,1.16051,1.161175703007752,2026-05-19T13:16:00+00:00,1.0,-1.0,0.2253257056874333,-1.2253257056874334,0.0,0.0,,,,,SL,0.0006657030077521497,13,TREND,NORMAL,LONDON_NEWYORK,BEARISH,2026-05-19T13:15:00+00:00,M1_PRE_ENTRY_60M_AND_CANONICAL_BIAS_GATE,AG_GEN001_REGIME_V1
LONDON_NEWYORK_2026-05-21_2026-05-21 13:15:00+00:00_S2_BREAKOUT_CONTINUATION,CONTROL,S2_BREAKOUT_CONTINUATION,2026-05-21T13:15:00+00:00,1.15887,1.1594380200998575,2026-05-21T13:16:00+00:00,1.0,-1.0,0.2640751621952142,-1.2640751621952142,0.0,0.0,,,,,SL,0.000568020099857458,13,RANGE,HIGH,LONDON_NEWYORK,BEARISH,2026-05-21T13:15:00+00:00,M1_PRE_ENTRY_60M_AND_CANONICAL_BIAS_GATE,AG_GEN001_REGIME_V1
LONDON_NEWYORK_2026-05-22_2026-05-22 13:00:00+00:00_S1_SWEEP_REVERSAL,CONTROL,S1_SWEEP_REVERSAL,2026-05-22T13:00:00+00:00,1.16123,1.1619161602923016,2026-05-22T14:59:00+00:00,119.0,2.2006519714727864,0.2186078117357217,1.9820441597370646,3.5851681124656998,-0.8161358304801967,78.0,2.0,61.0,62.0,SESSION_EXIT_FULL_POSITION,0.0006861602923016186,13,TREND,NORMAL,LONDON_NEWYORK,BEARISH,2026-05-22T13:00:00+00:00,M1_PRE_ENTRY_60M_AND_CANONICAL_BIAS_GATE,AG_GEN001_REGIME_V1
LONDON_NEWYORK_2026-05-22_2026-05-22 13:30:00+00:00_S3_PULLBACK_CONTINUATION,CONTROL,S3_PULLBACK_CONTINUATION,2026-05-22T13:30:00+00:00,1.16037,1.1619202810683622,2026-05-22T14:59:00+00:00,89.0,0.41927880902684905,0.09675664823699236,0.3225221607898567,1.0320709145278049,-0.4708823547534398,48.0,48.0,,,SESSION_EXIT_FULL_POSITION,0.0015502810683623025,13,TREND,NORMAL,LONDON_NEWYORK,BEARISH,2026-05-22T13:30:00+00:00,M1_PRE_ENTRY_60M_AND_CANONICAL_BIAS_GATE,AG_GEN001_REGIME_V1
LONDON_NEWYORK_2026-05-22_2026-05-22 13:45:00+00:00_S3_PULLBACK_CONTINUATION,CONTROL,S3_PULLBACK_CONTINUATION,2026-05-22T13:45:00+00:00,1.16033,1.1619201181349077,2026-05-22T14:59:00+00:00,74.0,0.3836192963332503,0.0943326138524387,0.28928668248081163,0.9810591840653661,-0.1257768184699044,33.0,,,,SESSION_EXIT_FULL_POSITION,0.0015901181349076143,13,RANGE,NORMAL,LONDON_NEWYORK,BEARISH,2026-05-22T13:45:00+00:00,M1_PRE_ENTRY_60M_AND_CANONICAL_BIAS_GATE,AG_GEN001_REGIME_V1
LONDON_NEWYORK_2026-05-25_2026-05-25 14:45:00+00:00_S1_SWEEP_REVERSAL,CONTROL,S1_SWEEP_REVERSAL,2026-05-25T14:45:00+00:00,1.16414,1.164662590148532,2026-05-25T14:59:00+00:00,14.0,0.0,0.28703181723072263,-0.28703181723072263,0.2487609082665564,-0.8419599972101119,13.0,,,,SESSION_EXIT_FULL_POSITION,0.000522590148531954,14,TREND,NORMAL,LONDON_NEWYORK,BEARISH,2026-05-25T14:45:00+00:00,M1_PRE_ENTRY_60M_AND_CANONICAL_BIAS_GATE,AG_GEN001_REGIME_V1
ASIAN_LONDON_2026-05-26_2026-05-26 07:30:00+00:00_S1_SWEEP_REVERSAL,CONTROL,S1_SWEEP_REVERSAL,2026-05-26T07:30:00+00:00,1.16351,1.1640621822729404,2026-05-26T08:19:00+00:00,49.0,-1.0,0.27164943054263724,-1.2716494305426371,0.5070789370130278,-0.9779379499534667,4.0,,,,SL,0.0005521822729404047,7,RANGE,NORMAL,ASIAN_LONDON,BEARISH,2026-05-26T07:30:00+00:00,M1_PRE_ENTRY_60M_AND_CANONICAL_BIAS_GATE,AG_GEN001_REGIME_V1
ASIAN_LONDON_2026-05-26_2026-05-26 08:45:00+00:00_S3_PULLBACK_CONTINUATION,CONTROL,S3_PULLBACK_CONTINUATION,2026-05-26T08:45:00+00:00,1.16358,1.1642440825003475,2026-05-26T09:34:00+00:00,49.0,-1.0,0.2258755499829038,-1.2258755499829037,0.5571596899578014,-0.9787940499259757,21.0,,,,SL,0.0006640825003474404,8,RANGE,NORMAL,ASIAN_LONDON,BEARISH,2026-05-26T08:45:00+00:00,M1_PRE_ENTRY_60M_AND_CANONICAL_BIAS_GATE,AG_GEN001_REGIME_V1
ASIAN_LONDON_2026-05-26_2026-05-26 09:00:00+00:00_S3_PULLBACK_CONTINUATION,CONTROL,S3_PULLBACK_CONTINUATION,2026-05-26T09:00:00+00:00,1.16374,1.164246648036037,2026-05-26T09:34:00+00:00,34.0,-1.0,0.29606351812456366,-1.2960635181245637,1.046091097373299,-0.9671408258737748,6.0,6.0,,,SL,0.0005066480360369496,9,RANGE,NORMAL,ASIAN_LONDON,BEARISH,2026-05-26T09:00:00+00:00,M1_PRE_ENTRY_60M_AND_CANONICAL_BIAS_GATE,AG_GEN001_REGIME_V1
